fundid,description,security_master_id,Expected_Date,Expected_Amount,Actual_Date,actual_amount,transaction_type,price,value,cusip,isin,asofdate
2,"WINDR 2004-1X SUB",11112,2006-03-20 00:00:00.0000000,898338.3,2006-03-20 00:00:00.0000000,898338.3,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2006-06-19 00:00:00.0000000,1061289.43,2006-06-20 00:00:00.0000000,606451.1,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2006-06-20 00:00:00.0000000,454838.33,2006-06-21 00:00:00.0000000,454838.33,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2006-09-19 00:00:00.0000000,660190.55,2006-09-19 00:00:00.0000000,660190.55,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2006-12-19 00:00:00.0000000,869229.34,2006-12-20 00:00:00.0000000,496702.48,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2006-12-19 00:00:00.0000000,372526.86,2006-12-21 00:00:00.0000000,372526.86,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2007-03-19 00:00:00.0000000,590324.06,2007-03-19 00:00:00.0000000,590324.06,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2007-03-19 00:00:00.0000000,442743.05,2007-03-23 00:00:00.0000000,442743.05,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2007-06-19 00:00:00.0000000,1023430.37,2007-06-19 00:00:00.0000000,584817.36,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2007-06-19 00:00:00.0000000,438613.01,2007-07-03 00:00:00.0000000,438613.01,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2007-09-19 00:00:00.0000000,422297.61,2007-09-20 00:00:00.0000000,241312.92,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2007-09-20 00:00:00.0000000,180984.69,2007-09-24 00:00:00.0000000,180984.69,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2007-12-19 00:00:00.0000000,909537.62,2007-12-20 00:00:00.0000000,519735.78,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2007-12-20 00:00:00.0000000,389801.84,2007-12-28 00:00:00.0000000,389801.84,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2008-03-19 00:00:00.0000000,1041883.09,2008-03-20 00:00:00.0000000,595361.76,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2008-03-20 00:00:00.0000000,446521.33,2008-03-26 00:00:00.0000000,446523.32,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2008-06-19 00:00:00.0000000,1681224.88,2008-06-19 00:00:00.0000000,960699.94,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2008-06-19 00:00:00.0000000,720524.94,2008-06-25 00:00:00.0000000,720524.95,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2008-09-19 00:00:00.0000000,996620.07,2008-09-23 00:00:00.0000000,569497.18,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2008-09-23 00:00:00.0000000,427122.89,2008-09-25 00:00:00.0000000,427122.89,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2008-12-19 00:00:00.0000000,526568.32,2008-12-23 00:00:00.0000000,300896.18,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2008-12-23 00:00:00.0000000,225672.14,2008-12-23 00:00:00.0000000,225672.13,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2009-03-19 00:00:00.0000000,0,2009-03-20 00:00:00.0000000,435339.54,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2009-03-20 00:00:00.0000000,-435339.54,2009-03-23 00:00:00.0000000,326504.66,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2009-06-19 00:00:00.0000000,457297.75,2009-06-22 00:00:00.0000000,261313,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2009-06-22 00:00:00.0000000,195984.75,2009-07-01 00:00:00.0000000,195984.74,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2009-09-21 00:00:00.0000000,0,2009-09-21 00:00:00.0000000,234835.8,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2009-09-21 00:00:00.0000000,176126.85,2009-09-23 00:00:00.0000000,195984.74,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2009-09-23 00:00:00.0000000,-19857.89,2009-09-30 00:00:00.0000000,-19857.9,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2009-12-21 00:00:00.0000000,0,2009-12-21 00:00:00.0000000,224030.78,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2009-12-21 00:00:00.0000000,168023.1,2009-12-24 00:00:00.0000000,168023.08,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2010-03-19 00:00:00.0000000,1318466.5,2010-03-19 00:00:00.0000000,753409.42,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2010-03-19 00:00:00.0000000,565057.08,2010-03-23 00:00:00.0000000,565057.08,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2010-06-21 00:00:00.0000000,1119493.05,2010-06-22 00:00:00.0000000,639710.32,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
2,"WINDR 2004-1X SUB",11112,2010-06-22 00:00:00.0000000,479782.73,2010-06-24 00:00:00.0000000,479782.73,"Bond Interest",0.0000000000,0.00,"G9695YAB5","USG9695YAB59",2021-08-31 00:00:00.0000000
