ID,asOfDate,type,description,currency,originalNotional,currentNotional,price_date,price_source,price,marketValue,accruedAmount,cusip,isin,fund_name,fund_id,cdoDealId,rmbsClassId,Security_Name,Security_Master_ID,Class_ID,Issuer_Name,Issuer_Id,account_ID,rating_Moody,rating_Sp,rating_fitch,ratings,coupon,asset_class,asset_detail,capital_structure,funded_status,rating_category,rating_level,long_short_io,ZaisId,asset_subclass,Fund_Currency,floating_index_code,IMFactor,Moodys_Derived_Rating,Fund_Is_Deferring,Recovery_Rate
196655449,2021-05-16 00:00:00.0000000,"Bond","WINDR 2004-1X SUB","USD",17500000.00,17500000.00,2021-04-30 00:00:00.0000000,"ZAIS Group",0.0000000000,0.00,,"G9695YAB5","USG9695YAB59","CDO OPPORTUNITY",2,,,"WINDR 2004-1X SUB",11112,11096,"WIND RIVER CLO I LTD",10805,,"NR        ","NR        ","NR        ","NR/NR/NR","0.000000 %","HY","TRANCHE","Equity","Funded","Equity",1000,"Long",,"HY CLO","USD","",1,,,
196655454,2021-05-16 00:00:00.0000000,"Bond","WINDR 2005-2X SUB","USD",16000000.00,16000000.00,2021-04-30 00:00:00.0000000,"ZAIS Group",0.0000000000,0.00,,"G96993AB9","USG96993AB97","CDO OPPORTUNITY",2,,,"WINDR 2005-2X SUB",15001,13480,"WIND RIVER CLO II-TATE INVESTORS, LTD.",11834,,"NR        ","NR        ","NR        ","NR/NR/NR","0.000000 %","HY","TRANCHE","Equity","Funded","Equity",1000,"Long",,"HY CLO","USD","",1,,,
196655458,2021-05-16 00:00:00.0000000,"Bond","HLF 1A PS","USD",7000000.00,7000000.00,2021-04-30 00:00:00.0000000,"ZAIS Group",0.0000000000,0.00,,"43037R305","US43037R3057","CDO OPPORTUNITY",2,,,"HLF 1A PS",15544,14416,"HIGHLAND LOAN FUNDING V LTD",10918,,,,,"-/-/-","0.000000 %","HY","TRANCHE","Equity","Funded","Equity",1000,"Long",,"HY CLO","USD","US0003M",1,,,
196655460,2021-05-16 00:00:00.0000000,"Bond","ACABS 2006-1A B1L","USD",5000000.00,8689689.67,2021-04-30 00:00:00.0000000,"ZAIS Group",0.0000000000,0.00,,"00082WAE0","US00082WAE03","CDO OPPORTUNITY",2,,,"ACABS 2006-1A B1L",19508,17564,"ACA ABS, LIMITED 2006-1",12284,,"C         ","NR        ","NR        ","C/NR/NR","3M L + 3 bps","RMBS","TRANCHE","Mezz","Funded","C",210,"Written Down",,"ABS CDO","USD","US0003M",1.73793793455,,,
196655465,2021-05-16 00:00:00.0000000,"Bond","CE B","USD",19000000.00,19000000.00,2021-04-30 00:00:00.0000000,"ZAIS Group",0.0000000000,0.00,,"MS6143056",,"CDO OPPORTUNITY",2,,,"CE B",40305,36301,"CENTRAL EASTERN INDUSTRIAL PORTFOLIO",14497,,,,,"-/-/-","7.630000 %","CRE","TRANCHE","Mezz","Funded","BBB",90,"Long",,"CRE","USD","",1,,,
196655502,2021-05-16 00:00:00.0000000,"Bond","BSARM 2004-3 B1","USD",3840000.00,1430848.15,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",93.6337600000,1339756.92,1882.42,"07384MR53","US07384MR539","CDO OPPORTUNITY",2,,,"BSARM 2004-3 B1",104101,93634,"BEAR STEARNS ARM TRUST 2004-3",19629,,"C         ","CCC       ",,"C/CCC/-","3.157427 %","RMBS",,"Junior",,,3000,"Long",,"Prime","USD","US0001M",0.3726167055,,,
196655511,2021-05-16 00:00:00.0000000,"Bond","INDX 2005-AR12 2A1B","USD",21871000.00,1139924.19,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",77.0980100000,878858.87,421.85,"45660LMH9","US45660LMH95","CDO OPPORTUNITY",2,,,"INDX 2005-AR12 2A1B",170299,159831,"INDYMAC INDX MORTGAGE LOAN TRUST 2005-AR12",23505,,"C         ","NR        ",,"C/NR/-","1M L + 0 bps","RMBS",,"SENMZ",,,3000,"Long",,"Option ARM","USD","US0001M",0.0521203509,,,
196655536,2021-05-16 00:00:00.0000000,"Bond","CMLTI 2013-A AIO","USD",51808000.00,1346245.07,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",0.9408000000,12665.47,91.82,"17320XAB0","US17320XAB01","CDO OPPORTUNITY",2,,,"CMLTI 2013-A AIO",295754,192884,"CITIGROUP MORTGAGE LOAN TRUST 2013-A",72961,,,,,"-/-/-","0.163683 %","RMBS",,"Senior",,,3000,"Long",,"Alt-A","USD","US0001M",0.0250489486,,,
196655541,2021-05-16 00:00:00.0000000,"Bond","CMLTI 2013-A B2","USD",2302000.00,1237801.06,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",91.0922600000,1127540.96,1631.67,"17320XAD6","US17320XAD66","CDO OPPORTUNITY",2,,,"CMLTI 2013-A B2",295756,192886,"CITIGROUP MORTGAGE LOAN TRUST 2013-A",72961,,,,,"-/-/-","3.163683 %","RMBS",,"MEZZ",,,3000,"Long",,"Alt-A","USD","",0.5262061488,,,
196655542,2021-05-16 00:00:00.0000000,"Bond","CMLTI 2013-A B3","USD",575009.00,297182.67,2021-04-30 00:00:00.0000000,"JP Morgan Pricing Direct",52.7885600000,156878.45,391.75,"17320XAE4","US17320XAE40","CDO OPPORTUNITY",2,,,"CMLTI 2013-A B3",295757,192887,"CITIGROUP MORTGAGE LOAN TRUST 2013-A",72961,,,,,"-/-/-","3.163683 %","RMBS",,"MEZZ",,,3000,"Long",,"Alt-A","USD","",0.5057856445,,,
