ID,asofdate,fundid,type,class_id,security_master_id,description,currency,originalNotional,currentNotional,Factor,cusip,isin,Zais_Id,Counterparty_Name,wa_purchase_price,price_date,price_source,price,Market_value,accruedAmount,Begin_Accrual_Date,accrual_method,payment_date,previous_payment_date,all_in_rate,Issuer_Country,Maturity_Date,account_ID,fund_name,rating_moody,rating_sp,rating_fitch,wal,Issuer_Id,Security_Name,fund_id,Issuer_Name,coupon,Coupon_No,Currency_Source,Fund_Currency,posFxRate,FundFxRate,Fund_Market_Value,Fund_Accrued,Is_Floating,Product,Class,SubClass,CapStructure,zais_classification
203228824,2021-09-14 00:00:00.0000000,117,"Cash",,,"Cash USD","USD",,,,,,,,,,,,773716.89,,,,,,,,,390,"ZEPHYR RECOVERY MEZZ 2005-1",,,,,,,117,,,,"Bloomberg","USD",,,,,,,,,,
203228825,2021-09-14 00:00:00.0000000,119,"Cash",,,"Custody","USD",,,,,,,,,,,,6451263.59,,,,,,,,,401,"UNC",,,,,,,119,,,,"Bloomberg","USD",,,,,,,,,,
203228832,2021-09-14 00:00:00.0000000,146,"Cash",,,"USD","USD",,,,,,,,,,,,25365913.31,,,,,,,,,640,"SBMA",,,,,,,146,,,,"Bloomberg","USD",,,,,,,,,,
203228862,2021-09-14 00:00:00.0000000,167,"Cash",,,"Interest Collection","USD",,,,,,,,,,,,1587062.97,,,,,,,,,743,"ZAIS CLO 1, LIMITED",,,,,,,167,,,,"Bloomberg","USD",,,,,,,,,,
203228863,2021-09-14 00:00:00.0000000,172,"Cash",,,"Interest Collection","USD",,,,,,,,,,,,1301601.55,,,,,,,,,5812673,"ZAIS CLO 2, LIMITED",,,,,,,172,,,,"Bloomberg","USD",,,,,,,,,,
203228867,2021-09-14 00:00:00.0000000,175,"Cash",,,"Interest Collection","USD",,,,,,,,,,,,2536540.48,,,,,,,,,5812677,"ZAIS CLO 3, LIMITED",,,,,,,175,,,,"Bloomberg","USD",,,,,,,,,,
203228868,2021-09-14 00:00:00.0000000,175,"Cash",,,"Principal Collection","USD",,,,,,,,,,,,679087.27,,,,,,,,,5812678,"ZAIS CLO 3, LIMITED",,,,,,,175,,,,"Bloomberg","USD",,,,,,,,,,
203228871,2021-09-14 00:00:00.0000000,180,"Cash",,,"Custody","USD",,,,,,,,,,,,352819.59,,,,,,,,,5812692,"ZAIS ZEPHYR A-6, LP",,,,,,,180,,,,"Bloomberg","USD",,,,,,,,,,
203228873,2021-09-14 00:00:00.0000000,185,"Cash",,,"Custody","USD",,,,,,,,,,,,337155.89,,,,,,,,,5812731,"ZAIS ZEPHYR 7 MASTER FUND  LTD.",,,,,,,185,,,,"Bloomberg","USD",,,,,,,,,,
203228876,2021-09-14 00:00:00.0000000,192,"Cash",,,"USD","USD",,,,,,,,,,,,66572.23,,,,,,,,,5812746,"PREMIA AMTRUST 2017 AGGREGATE REINSURANCE TRUST",,,,,,,192,,,,"Bloomberg","USD",,,,,,,,,,
203228877,2021-09-14 00:00:00.0000000,197,"Cash",,,"Custody","USD",,,,,,,,,,,,9704450.97,,,,,,,,,5812761,"ZAIS ZEPHYR 8, LTD",,,,,,,197,,,,"Bloomberg","USD",,,,,,,,,,
203228878,2021-09-14 00:00:00.0000000,199,"Cash",,,"Custody","USD",,,,,,,,,,,,19030929.40,,,,,,,,,5812767,"ZAIS INARI MASTER FUND 2  LTD",,,,,,,199,,,,"Bloomberg","USD",,,,,,,,,,
203228879,2021-09-14 00:00:00.0000000,200,"Cash",,,"Custody-EUR","EUR",,,,,,,,,,,,16519309.23,,,,,,,,,5812828,"ZAIS LEVHY FUND I SCSp",,,,,,,200,,,,"Bloomberg","EUR",,,,,,,,,,
203228880,2021-09-14 00:00:00.0000000,200,"Cash",,,"Custody-USD","USD",,,,,,,,,,,,-6763784.11,,,,,,,,,5812829,"ZAIS LEVHY FUND I SCSp",,,,,,,200,,,,"Bloomberg","EUR",,,,,,,,,,
203228881,2021-09-14 00:00:00.0000000,205,"Cash",,,"Custody","USD",,,,,,,,,,,,40347648.27,,,,,,,,,5812812,"INARI FUND LP",,,,,,,205,,,,"Bloomberg","USD",,,,,,,,,,
203228882,2021-09-14 00:00:00.0000000,208,"Cash",,,"USD","USD",,,,,,,,,,,,176838.29,,,,,,,,,5812822,"PREMIA B.D. COOKE GROUP QUOTA SHARE REINSURANCE TRUST",,,,,,,208,,,,"Bloomberg","USD",,,,,,,,,,
203228780,2021-09-14 00:00:00.0000000,49,"Cash",,,"Payment Account","EUR",,,,,,,,,,,,7500.00,,,,,,,,,569,"EURO EPICS I PASS-THROUGH",,,,,,,49,,,,"Bloomberg","EUR",,,,,,,,,,
203228781,2021-09-14 00:00:00.0000000,49,"Cash",,,"Custody","EUR",,,,,,,,,,,,8184.80,,,,,,,,,570,"EURO EPICS I PASS-THROUGH",,,,,,,49,,,,"Bloomberg","EUR",,,,,,,,,,
